Time,TP PRELAZ 056_A+_001,TP PRELAZ 056_A-_101,TP CELJSKA CESTA 2694_A+_201,TP CELJSKA CESTA 2694_A-_301,TP BENCINSKI SERVIS 3 2781_A+_401,TP BENCINSKI SERVIS 3 2781_A-_501
,kW,kW,kW,kW,kW,kW
01/01/2023 00:15,0,0,42.24,0,8.94,0
01/01/2023 00:30,0,0,47.36,0,8.052,0
01/01/2023 00:45,0,0,44.96,0,8.28,0
01/01/2023 01:00,0,0,45.52,0,8.16,0
01/01/2023 01:15,0,0,43.2,0,9.288,0
01/01/2023 01:30,0,0,45.76,0,8.88,0
01/01/2023 01:45,0,0,41.28,0,9.048,0
01/01/2023 02:00,0,0,41.04,0,9.456,0
01/01/2023 02:15,0,0,45.28,0,10.26,0
01/01/2023 02:30,0,0,40.64,0,8.736,0
01/01/2023 02:45,0,0,45.6,0,9.492,0
01/01/2023 03:00,0,0,44.56,0,9.348,0
01/01/2023 03:15,0,0,41.36,0,9.516,0
01/01/2023 03:30,0,0,45.84,0,10.392,0
01/01/2023 03:45,0,0,43.2,0,9.936,0
01/01/2023 04:00,0,0,39.44,0,9.264,0
01/01/2023 04:15,0,0,37.36,0,9.624,0
01/01/2023 04:30,0,0,42.24,0,10.272,0
01/01/2023 04:45,0,0,38.88,0,9.348,0
01/01/2023 05:00,0,0,38.4,0,7.404,0
01/01/2023 05:15,0,0,43.44,0,7.524,0
01/01/2023 05:30,0,0,39.36,0,7.8,0
01/01/2023 05:45,0,0,38,0,8.592,0
01/01/2023 06:00,0,0,38,0,8.88,0
01/01/2023 06:15,0,0,41.44,0,9.396,0
01/01/2023 06:30,0,0,38.24,0,10.044,0
01/01/2023 06:45,0,0,38.56,0,10.056,0
01/01/2023 07:00,0,0,38.96,0,10.056,0
01/01/2023 07:15,0,0,40.16,0,11.04,0
01/01/2023 07:30,0,0,40.96,0,10.644,0
01/01/2023 07:45,0,0,40.48,0,8.34,0
01/01/2023 08:00,0,0,33.68,0,8.772,0
01/01/2023 08:15,0,0,40.32,0,11.94,0
01/01/2023 08:30,0,0,38.24,0,11.088,0
01/01/2023 08:45,0,0,37.12,0,12.336,0
01/01/2023 09:00,0,0,39.44,0,12.804,0
01/01/2023 09:15,0,0,39.68,0,13.56,0
01/01/2023 09:30,0,0,41.2,0,13.704,0
01/01/2023 09:45,0,0,39.12,0,12.672,0
01/01/2023 10:00,0,0,42.8,0,10.512,0
01/01/2023 10:15,0,0,45.28,0,10.296,0
01/01/2023 10:30,0,0,42.96,0,10.38,0
01/01/2023 10:45,0,0,48.4,0,9.336,0
01/01/2023 11:00,0,0,46.16,0,14.04,0
01/01/2023 11:15,0,0,47.04,0,10.68,0
01/01/2023 11:30,0,0,54.08,0,13.248,0
01/01/2023 11:45,0,0,52.16,0,12.48,0
01/01/2023 12:00,0,0,64.56,0,12.792,0
01/01/2023 12:15,0,0,66.08,0,16.704,0
01/01/2023 12:30,0,0,69.68,0,15.312,0
01/01/2023 12:45,0,0,61.68,0,14.112,0
01/01/2023 13:00,0,0,66.08,0,17.472,0
01/01/2023 13:15,0,0,66.24,0,18.756,0
01/01/2023 13:30,0,0,67.36,0,14.376,0
01/01/2023 13:45,0,0,60.24,0,10.812,0
01/01/2023 14:00,0,0,57.68,0,11.304,0
01/01/2023 14:15,0,0,59.2,0,11.676,0
01/01/2023 14:30,0,0,53.76,0,13.416,0
01/01/2023 14:45,0,0,50.4,0,16.032,0
01/01/2023 15:00,0,0,46.32,0,17.244,0
01/01/2023 15:15,0,0,47.68,0,18.384,0
01/01/2023 15:30,0,0,44.32,0,18.948,0
01/01/2023 15:45,0,0,47.6,0,14.736,0
01/01/2023 16:00,0,0,56.4,0,16.284,0
01/01/2023 16:15,0,0,62.96,0,17.1,0
01/01/2023 16:30,0,0,64.08,0,21.972,0
01/01/2023 16:45,0,0,62.48,0,21.528,0
01/01/2023 17:00,0,0,60.16,0,17.976,0
01/01/2023 17:15,0,0,58.88,0,18.924,0
01/01/2023 17:30,0,0,57.44,0,17.784,0
01/01/2023 17:45,0,0,61.84,0,19.116,0
01/01/2023 18:00,0,0,66.32,0,18.588,0
01/01/2023 18:15,0,0,60.08,0,11.712,0
01/01/2023 18:30,0,0,56.56,0,11.892,0
01/01/2023 18:45,0,0,58.16,0,11.58,0
01/01/2023 19:00,0,0,54.32,0,10.356,0
01/01/2023 19:15,0,0,52,0,10.212,0
01/01/2023 19:30,0,0,48.96,0,10.044,0
01/01/2023 19:45,0,0,50.8,0,10.548,0
01/01/2023 20:00,0,0,50.8,0,10.848,0
01/01/2023 20:15,0,0,50.72,0,11.916,0
01/01/2023 20:30,0,0,51.6,0,12.156,0
