,0
"globalno sev. [W/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.17447824505371382
globalno sev. [W/m2]__mean_change,0.1545840856483389
"globalno sev. [W/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.1302620387434443
"globalno sev. [W/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.11914885265161285
"globalno sev. [W/m2]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.057431171990298235
"globalno sev. [W/m2]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.05197036086733021
energija uvb [mW/m2]__last_location_of_minimum,0.017076196147670367
"energija uvb [mW/m2]__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.009516291019123409
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.009082523162416017
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.007736052064482552
"energija uvb [mW/m2]__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.005669632484987832
energija uvb [mW/m2]__time_reversal_asymmetry_statistic__lag_1,0.005545762870239369
"globalno sev. [W/m2]__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",0.004842896791878076
"globalno sev. [W/m2]__fft_aggregated__aggtype_""kurtosis""",0.004754626915252757
"energija uvb [mW/m2]__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.0037110008327439505
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.003136626357611406
rel. vla. [%]__skewness,0.002816223422420675
"energija uvb [mW/m2]__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.002529336361374138
"globalno sev. [W/m2]__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.002064843171953976
min. rel. vla. [%]__skewness,0.0019692336790261057
"globalno sev. [W/m2]__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0019291336558858443
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.001731391032910463
"globalno sev. [W/m2]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.0017068313637484853
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.001675964825110171
"week_number__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",0.001573424405016948
"energija uvb [mW/m2]__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.0014917053679593731
"povp. rel. vla. [%]__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.0014503801751245282
max. T [°C]__approximate_entropy__m_2__r_0.3,0.001436178896619633
energija uvb [mW/m2]__mean_change,0.0014312223590439597
min. rel. vla. [%]__approximate_entropy__m_2__r_0.7,0.001396004855739005
"globalno sev. [W/m2]__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.00136515863752438
max. rel. vla. [%]__sum_of_reoccurring_values,0.0013102265368497323
globalno sev. [W/m2]__autocorrelation__lag_3,0.0013001037083868916
"min. rel. vla. [%]__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.001260653877405044
"min. rel. vla. [%]__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.0011203577217661395
globalno sev. [W/m2]__time_reversal_asymmetry_statistic__lag_1,0.0011191090056482114
"energija uvb [mW/m2]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.0010853884853844098
"energija uvb [mW/m2]__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.001076093142535047
globalno sev. [W/m2]__ar_coefficient__coeff_6__k_10,0.001000608793705979
"povp. rel. vla. [%]__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.00097690134426692
"energija uvb [mW/m2]__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.0009202552232866311
"globalno sev. [W/m2]__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.0009156744610257301
"povp. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0009037714316527005
"max. rel. vla. [%]__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.0008793429334669264
min. rel. vla. [%]__sum_of_reoccurring_values,0.000872215785904176
rel. vla. [%]__sum_of_reoccurring_values,0.0008660552303966537
"energija uvb [mW/m2]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.0008346516613409144
max. rel. vla. [%]__permutation_entropy__dimension_7__tau_1,0.0007959270803190876
energija uvb [mW/m2]__fourier_entropy__bins_100,0.0007907691296046055
globalno sev. [W/m2]__benford_correlation,0.0007767039401970567
"globalno sev. [W/m2]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0007235524107797658
"globalno sev. [W/m2]__fft_coefficient__attr_""imag""__coeff_3",0.000723260399624967
"energija uvb [mW/m2]__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.0007200375308742417
povp. rel. vla. [%]__skewness,0.0007186416137768184
"energija uvb [mW/m2]__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0007014694272126261
"globalno sev. [W/m2]__fft_aggregated__aggtype_""variance""",0.0006853446637883866
"globalno sev. [W/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.0006788231021946263
"globalno sev. [W/m2]__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.0006726314356841652
globalno sev. [W/m2]__approximate_entropy__m_2__r_0.1,0.0006718954310895051
globalno sev. [W/m2]__autocorrelation__lag_8,0.0006716237180794893
"energija uvb [mW/m2]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0006555397393375868
"globalno sev. [W/m2]__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.0006547121032232738
"globalno sev. [W/m2]__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",0.0006235331732060477
"globalno sev. [W/m2]__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0006176661825632143
"max. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0006136755313932891
"rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0006095786462593001
"globalno sev. [W/m2]__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.0005793771296004939
"max. rel. vla. [%]__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",0.0005620819425853556
globalno sev. [W/m2]__ar_coefficient__coeff_0__k_10,0.000560541873932219
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.0005531334668769855
povp. T [°C]__approximate_entropy__m_2__r_0.3,0.0005503753580011251
povp. rel. vla. [%]__mean_change,0.0005405049543880996
"globalno sev. [W/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.0005398714971269974
"energija uvb [mW/m2]__fft_aggregated__aggtype_""kurtosis""",0.00053489889842236
"max. rel. vla. [%]__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.0005262174869430539
"globalno sev. [W/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",0.0005225349483656839
"min. rel. vla. [%]__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.0005204603816662833
"rel. vla. [%]__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.0005126553822192567
"globalno sev. [W/m2]__fft_coefficient__attr_""real""__coeff_1",0.0005096391774302745
min. rel. vla. [%]__partial_autocorrelation__lag_8,0.0005088584653301102
globalno sev. [W/m2]__autocorrelation__lag_4,0.0005063581746716486
"globalno sev. [W/m2]__fft_coefficient__attr_""real""__coeff_3",0.0005052300784747099
energija uvb [mW/m2]__ar_coefficient__coeff_0__k_10,0.0005024623548994422
"globalno sev. [W/m2]__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.0005013034957794622
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0004908624403985977
"min. rel. vla. [%]__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.0004883476034052255
week_number__ratio_value_number_to_time_series_length,0.0004879755074707689
max. rel. vla. [%]__ar_coefficient__coeff_1__k_10,0.00048466293331298166
"globalno sev. [W/m2]__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.00047751235628521187
"max. T [°C]__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0004758547030303448
energija uvb [mW/m2]__first_location_of_maximum,0.0004722642840447093
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.00046628397831104275
"min. T [°C]__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.00045604771078925266
globalno sev. [W/m2]__mean_second_derivative_central,0.00045441618857953054
globalno sev. [W/m2]__ar_coefficient__coeff_1__k_10,0.00044836355891045396
rel. vla. [%]__ar_coefficient__coeff_1__k_10,0.00044473546845287743
"max. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0004445711283866176
"povp. rel. vla. [%]__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.0004439212045632751
max. T [°C]__ar_coefficient__coeff_1__k_10,0.0004381513052475806
"max. T [°C]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.0004351417265877693
globalno sev. [W/m2]__ar_coefficient__coeff_3__k_10,0.00043487381527435704
"max. rel. vla. [%]__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.00041898397951130984
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.00041869709418165953
"min. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.00041795207047629085
"max. T [°C]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.00041751447364211247
min. T [°C]__approximate_entropy__m_2__r_0.3,0.00041561687859058597
"globalno sev. [W/m2]__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.00040737520942025075
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",0.00040039847198080676
povp. T [°C]__permutation_entropy__dimension_5__tau_1,0.0003990653673099365
"energija uvb [mW/m2]__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.00039892672652098895
"globalno sev. [W/m2]__linear_trend__attr_""slope""",0.0003987992423303155
"povp. rel. vla. [%]__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.00039429995235942074
"globalno sev. [W/m2]__fft_coefficient__attr_""real""__coeff_11",0.0003903929352877977
"rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.0003891024686180754
max. T [°C]__permutation_entropy__dimension_3__tau_1,0.00038342595365773395
"globalno sev. [W/m2]__fft_coefficient__attr_""abs""__coeff_10",0.00038205485304307655
"globalno sev. [W/m2]__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.00038079479054855273
T [°C]__ar_coefficient__coeff_3__k_10,0.00037881722677546656
max. T [°C]__spkt_welch_density__coeff_2,0.0003774306547850999
"energija uvb [mW/m2]__fft_coefficient__attr_""imag""__coeff_9",0.0003743673509711238
globalno sev. [W/m2]__partial_autocorrelation__lag_2,0.00037390721399072833
globalno sev. [W/m2]__ratio_beyond_r_sigma__r_0.5,0.00037234457639192614
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.00036973163355955024
T [°C]__ar_coefficient__coeff_2__k_10,0.00036866336465442013
povp. rel. vla. [%]__partial_autocorrelation__lag_6,0.00036337188009319973
max. rel. vla. [%]__approximate_entropy__m_2__r_0.3,0.0003631970387604012
globalno sev. [W/m2]__autocorrelation__lag_2,0.00036084761547649217
"globalno sev. [W/m2]__fft_coefficient__attr_""abs""__coeff_3",0.0003603747747014385
"max. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.00034871068089796476
"globalno sev. [W/m2]__fft_coefficient__attr_""imag""__coeff_5",0.00034774459660751457
povp. rel. vla. [%]__partial_autocorrelation__lag_8,0.0003472252603887406
min. rel. vla. [%]__count_above_mean,0.00034581031965582936
max. T [°C]__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.00034462241509163554
rel. vla. [%]__longest_strike_above_mean,0.0003436606208709081
"globalno sev. [W/m2]__fft_coefficient__attr_""abs""__coeff_7",0.0003415501311155673
min. rel. vla. [%]__mean_change,0.0003412632277385878
"max. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.0003394293257648349
max. rel. vla. [%]__fourier_entropy__bins_10,0.00033729764419198347
"povp. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.0003355203017661823
max. rel. vla. [%]__spkt_welch_density__coeff_5,0.0003350560683482134
max. T [°C]__absolute_sum_of_changes,0.0003312212490004245
energija uvb [mW/m2]__time_reversal_asymmetry_statistic__lag_2,0.00033058961802558953
"povp. rel. vla. [%]__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",0.00032912971182821394
povp. rel. vla. [%]__c3__lag_3,0.00032836739336344797
"povp. rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.00032322795093866065
max. rel. vla. [%]__ratio_value_number_to_time_series_length,0.0003222270939684399
"globalno sev. [W/m2]__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.00032047479208521535
globalno sev. [W/m2]__time_reversal_asymmetry_statistic__lag_2,0.00032046525173486784
"globalno sev. [W/m2]__fft_coefficient__attr_""real""__coeff_8",0.0003200383315185912
"rel. vla. [%]__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.00031785201775127276
povp. rel. vla. [%]__approximate_entropy__m_2__r_0.9,0.0003147420057948838
"min. rel. vla. [%]__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.00031371493367846846
energija uvb [mW/m2]__cid_ce__normalize_True,0.00031172435086731257
globalno sev. [W/m2]__absolute_maximum,0.0003108093191906976
"energija uvb [mW/m2]__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",0.00031043629428526286
"povp. T [°C]__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0003101614625363952
"week_number__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.00030743400992653305
min. rel. vla. [%]__variation_coefficient,0.000305488605083096
rel. vla. [%]__approximate_entropy__m_2__r_0.5,0.00030221680447639545
povp. rel. vla. [%]__lempel_ziv_complexity__bins_10,0.0003014449142812681
"globalno sev. [W/m2]__fft_coefficient__attr_""real""__coeff_9",0.0003001381407301205
"globalno sev. [W/m2]__linear_trend__attr_""stderr""",0.0002980592685726417
"rel. vla. [%]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.00029705444986479526
povp. T [°C]__time_reversal_asymmetry_statistic__lag_2,0.0002956543675836446
globalno sev. [W/m2]__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.00029561733597324166
"povp. rel. vla. [%]__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.0002952524226811571
T [°C]__approximate_entropy__m_2__r_0.3,0.0002941466450815937
"min. T [°C]__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0002927991395657253
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.000292087306029581
T [°C]__kurtosis,0.0002915076040256106
energija uvb [mW/m2]__benford_correlation,0.00029036750250327037
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_2",0.00028805157354318305
rel. vla. [%]__sum_of_reoccurring_data_points,0.000285769408681892
"energija uvb [mW/m2]__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.0002856124910322586
"globalno sev. [W/m2]__fft_coefficient__attr_""angle""__coeff_8",0.00028358972812340326
"povp. rel. vla. [%]__fft_coefficient__attr_""real""__coeff_4",0.0002829034411275398
max. rel. vla. [%]__partial_autocorrelation__lag_8,0.0002822806604179502
"energija uvb [mW/m2]__fft_coefficient__attr_""abs""__coeff_6",0.0002816082781131954
"povp. T [°C]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.00028031062284283024
"T [°C]__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.0002789929648583221
"min. rel. vla. [%]__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.00027897610128075506
max. rel. vla. [%]__permutation_entropy__dimension_5__tau_1,0.0002770458722180952
"min. T [°C]__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.00027594872637014343
energija uvb [mW/m2]__autocorrelation__lag_8,0.0002746322977940693
energija uvb [mW/m2]__ar_coefficient__coeff_1__k_10,0.0002738128409743764
"globalno sev. [W/m2]__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0002724955667719462
"povp. T [°C]__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0002697740490750785
