placement,scenario,SerialNo,Timestamp,roll,pitch,yaw,XCalibAccel,YCalibAccel,ZCalibAccel,XCalibGyro,YCalibGyro,ZCalibGyro,XCalibMag,YCalibMag,ZCalibMag,XLinAccel,YLinAccel,ZLinAccel,quat0,quat1,quat2,quat3,quat_check,magnitude,timestamp_2,time,label
a,s01,35285,352850,169.9513001984819,11.168846343429141,97.9753613937502,0.186401,0.994995,-0.114136,-3.106117,0.871658,-0.214577,-28.610062,-33.005768,6.346252,-0.007294,0.019333000000000003,-0.011429,0.657003,0.742531,-7.900000000000001e-05,0.130363,1.0,1.018718513291086,970,1548162598211,001_Stand
a,s01,35286,352860,169.9416216105376,11.168460897035578,97.94640052012576,0.197143,0.997436,-0.116089,-3.258705,1.024246,-0.123024,-29.360062,-32.555771,7.396255,0.003464,0.021713,-0.013900999999999998,0.657191,0.742355,-4.9e-05,0.130416,1.0,1.0233379659066697,980,1548162598221,001_Stand
a,s01,35287,352870,169.9316852767175,11.16108957665581,97.91474408968885,0.19519,0.99353,-0.095093,-2.953529,0.902176,-0.8249280000000001,-29.360062,-32.555771,7.396255,0.001633,0.017731,0.006546,0.657396,0.742172,2.2e-05,0.130426,1.0,1.0169777163974636,990,1548162598230,001_Stand
a,s01,35288,352880,169.92372019434518,11.157681267535308,97.87825149846023,0.182495,0.992065,-0.083862,-3.3197400000000004,0.71907,-0.123024,-29.210068,-33.155762,7.246246000000001,-0.011002,0.01619,0.017151,0.657633,0.741958,5.1e-05,0.13045,1.0,1.0121908042923529,1000,1548162598240,001_Stand
a,s01,35289,352890,169.9079508301227,11.156503550302649,97.85106943106781,0.185425,0.987671,-0.094604,-2.617836,1.5735629999999998,-0.061989,-27.860062,-32.555771,7.396255,-0.008057,0.011734,0.005905,0.657809,0.741787,0.000126,0.13053299999999998,1.0,1.0093692840987385,1010,1548162598250,001_Stand
a,s01,35290,352900,169.9036754042759,11.148877464834717,97.82292350041084,0.180542,0.996948,-0.105347,-2.861977,0.413895,-0.458717,-29.960068,-32.405762,7.696242999999999,-0.012802,0.020935,-0.0053100000000000005,0.657991,0.74163,0.000167,0.130509,1.0,1.0186258974113116,1020,1548162598259,001_Stand
a,s01,35291,352910,169.89693080440986,11.148596390115111,97.79231333280285,0.189331,0.984253,-0.091675,-2.9840470000000003,0.658035,0.027657,-29.960068,-32.405762,7.696242999999999,-0.004013,0.008194,0.007812,0.6581899999999999,0.7414470000000001,0.000176,0.130546,1.0,1.0064812473141267,1030,1548162598269,001_Stand
a,s01,35292,352920,169.89426612867476,11.148221095473033,97.75821245835868,0.203003,0.986206,-0.089233,-3.3197400000000004,0.200272,-0.245094,-27.860062,-31.955765000000003,7.846252000000002,0.009659,0.010086,0.009674,0.658412,0.7412479999999999,0.000156,0.13055899999999998,1.0,1.010828878066906,1040,1548162598278,001_Stand
a,s01,35293,352930,169.88821592246782,11.147946091825988,97.72543605144888,0.198608,0.995483,-0.119995,-3.838539,0.688553,-0.123024,-29.960068,-32.405762,7.246246000000001,0.00528,0.019302,-0.021667,0.658624,0.741053,0.00015800000000000002,0.130592,1.0,1.0221694287044591,1050,1548162598288,001_Stand
a,s01,35294,352940,169.88652693003925,11.14515134774745,97.69342939081538,0.167847,0.986694,-0.110718,-3.563881,0.261307,0.302315,-29.960068,-32.405762,7.246246000000001,-0.025436,0.010452,-0.012939,0.658832,0.74087,0.000149,0.130584,1.0,1.0069737536644139,1060,1548162598298,001_Stand
a,s01,35295,352950,169.8887101677166,11.13847791090887,97.65767511011109,0.180542,0.989624,-0.099487,-3.624916,-0.255585,-0.336647,-27.410065000000003,-33.305771,8.146255,-0.012634,0.01329,-0.002289,0.6590630000000001,0.7406739999999999,0.000135,0.130529,1.0,1.0108653413333548,1070,1548162598307,001_Stand
a,s01,35296,352960,169.88248708446454,11.139919279328613,97.62255883270858,0.189819,0.986206,-0.097534,-3.685951,0.658035,0.210762,-29.360062,-31.955765000000003,6.046249,-0.003372,0.009827,-0.000961,0.659291,0.740463,0.000125,0.130574,1.0,1.009032411943739,1080,1548162598317,001_Stand
a,s01,35297,352970,169.87421518203385,11.13824827137866,97.58765245071619,0.18689,0.989136,-0.105347,-3.777504,0.871658,-0.061989,-29.360062,-31.955765000000003,6.046249,-0.006287,0.01268,-0.009384,0.659517,0.740255,0.000147,0.13061099999999998,1.0,1.0121343235979106,1090,1548162598326,001_Stand
a,s01,35298,352980,169.86743741706672,11.136816833437802,97.55254527354451,0.165405,0.983764,-0.112183,-3.991127,0.810623,0.424385,-28.610062,-31.955765000000003,6.646255,-0.02774,0.007248,-0.01683,0.659745,0.740047,0.00015800000000000002,0.130641,1.0,1.0038602727521395,1100,1548162598336,001_Stand
a,s01,35299,352990,169.8594037991554,11.135196129080677,97.51314191785393,0.170776,0.988647,-0.092163,-3.991127,0.841141,0.302315,-29.360062,-32.255768,6.646255,-0.022339,0.012054,0.002487,0.66,0.739813,0.000173,0.130677,1.0,1.0075124571706295,1110,1548162598345,001_Stand
a,s01,35300,353000,169.84884697292156,11.14308585812768,97.48092187794649,0.192749,0.998901,-0.106812,-3.746986,1.207352,0.8211139999999999,-29.360062,-32.255768,6.646255,-0.000504,0.022278,-0.012772,0.6602100000000001,0.739606,0.000154,0.13078800000000002,1.0,1.0229194436249611,1120,1548162598355,001_Stand
a,s01,35301,353010,169.8335341255837,11.149340561048815,97.44642750791309,0.187378,0.984741,-0.10144,-3.869057,1.665115,0.6685260000000001,-29.810059000000006,-32.555771,6.346252,-0.005981,0.008072,-0.008057,0.660434,0.739383,0.000172,0.130916,1.0,1.0075293670980514,1130,1548162598365,001_Stand
a,s01,35302,353020,169.82087816073076,11.153901708901687,97.40610687476598,0.180054,0.989624,-0.091187,-4.235268,1.35994,0.6990430000000001,-29.060059000000006,-32.255768,6.646255,-0.013382,0.012909,0.00145,0.660696,0.7391310000000001,0.000177,0.131018,1.0,1.009995135266007,1140,1548162598374,001_Stand
a,s01,35303,353030,169.81519900989008,11.158651730712615,97.3734268143087,0.189819,1.005249,-0.099976,-3.624916,0.658035,0.638008,-29.060059000000006,-32.255768,6.646255,-0.003693,0.028488,-0.007935,0.660909,0.73893,0.000146,0.131081,1.0,1.0278871559359033,1150,1548162598384,001_Stand
a,s01,35304,353040,169.80287118237064,11.173926930164054,97.34594879184017,0.197632,0.989136,-0.103882,-3.411293,1.451492,1.431465,-29.960068,-32.405762,7.246246000000001,0.003845,0.012375,-0.012405,0.661088,0.738739,9.8e-05,0.131249,1.0,1.0140216486071685,1160,1548162598393,001_Stand
a,s01,35305,353050,169.7849277615441,11.183284713776743,97.31212407676989,0.185425,0.978882,-0.085815,-3.5943980000000004,1.909256,1.004219,-29.060059000000006,-32.255768,7.846252000000002,-0.008514,0.00209,0.00499,0.661309,0.738513,0.000114,0.131412,1.0,0.99997830715171,1170,1548162598403,001_Stand
a,s01,35306,353060,169.77155266724893,11.194295388621478,97.2842727514069,0.189331,0.985229,-0.092163,-3.136635,1.48201,1.156807,-29.510071000000003,-33.155762,6.946242999999999,-0.004790999999999999,0.008423,-0.001907,0.6614899999999999,0.738324,9.8e-05,0.13155899999999998,1.0,1.0074802373103902,1180,1548162598413,001_Stand
a,s01,35307,353070,169.76202968196648,11.206123195866143,97.25472110670913,0.195679,0.981811,-0.098511,-3.502846,1.115799,1.126289,-29.510071000000003,-33.155762,6.946242999999999,0.001343,0.00499,-0.008834999999999999,0.661683,0.738128,5.1e-05,0.131689,1.0,1.0059560268137968,1190,1548162598422,001_Stand
